name,food_class,calorie,fat,carb,protein,fibers,sugar,saturated_fats,sodium,image_url,default_amount,nutriscore
Ayam Geprek,ayam_geprek,263,17.61,17.99,7.6,0.8,0.78,2.672,0.46,https://storage.googleapis.com/food-consumptions/default/default_ayam_geprek.png,100,
Ayam Goreng,ayam_goreng,260,14.55,10.76,21.93,1.4,0.26,8.964,0.35,https://storage.googleapis.com/food-consumptions/default/default_ayam_goreng.jpeg,100,
Bakso,bakso,202,13.16,7.58,12.41,0.5,1.5,4.987,0.478,https://storage.googleapis.com/food-consumptions/default/default_bakso.jpg,100,
Batagor,batagor,290,14.92,29.14,10.28,1.4,3.54,2.155,0.152,https://storage.googleapis.com/food-consumptions/default/default_batagor.jpe,100,
Cendol,cendol,155,6.37,23.49,1.87,1.2,8.8,5.433,0.5,https://storage.googleapis.com/food-consumptions/default/default_cendol.jpg,100,
Gorengan,gorengan,228,19.31,11.23,3.31,1.2,1.75,5.044,0.164,https://storage.googleapis.com/food-consumptions/default/default_gorengan.jpg,100,
Ikan Goreng,ikan_goreng,128,2.65,0,26.15,0,0,0.94,0.056,https://storage.googleapis.com/food-consumptions/default/default_ikan_goreng.jpg,100,
Ketoprak,ketoprak,201,7.67,25.24,7.8,3.9,6.65,2.931,0.391,https://storage.googleapis.com/food-consumptions/default/default_ketoprak.jpg,100,
Klepon,klepon,366,9.34,65.82,4.75,2.8,18.64,8.071,0.079,https://storage.googleapis.com/food-consumptions/default/default_klepon.jpg,100,
Martabak Manis,martabak_manis,300,12.57,41.52,7.78,2,22.47,5.24,0.25,https://storage.googleapis.com/food-consumptions/default/default_martabak_manis.jpeg,100,
Martabak Telur,martabak_telur,185,7.68,18.52,9.9,1.3,0.94,2.56,0.135,https://storage.googleapis.com/food-consumptions/default/default_martabak_telur.jpg,100,
Mie Ayam,mie_ayam,175,7.81,19.25,6.96,1,0.55,0.99,0.015,https://storage.googleapis.com/food-consumptions/default/default_mie_ayam.jpeg,100,
Nasi Goreng,nasi_goreng,168,6.23,21.06,6.3,0.7,0.76,1.137,0.415,https://storage.googleapis.com/food-consumptions/default/default_nasi_goreng.jpg,100,
Nasi Kuning,nasi_kuning,95,0.17,20.86,1.89,0.4,0.39,0.046,0.55,https://storage.googleapis.com/food-consumptions/default/default_nasi_kuning.png,100,
Nasi Putih,nasi_putih,129,0.28,27.9,2.66,0.4,0.05,0.076,0.365,https://storage.googleapis.com/food-consumptions/default/default_nasi_putih.jpg,100,
Onde-Onde,onde_onde,289,5.23,55.49,4.3,2.2,9.22,4.424,0.08,https://storage.googleapis.com/food-consumptions/default/default_onde_onde.jpg,100,
Pempek,pempek,195,5.2,23.58,12.61,0.7,9.32,1.473,0.057,https://storage.googleapis.com/food-consumptions/default/default_pempek.jpg,100,
Rendang,rendang,195,11.07,4.49,19.68,1.7,1.31,6.482,0.184,https://storage.googleapis.com/food-consumptions/default/default_rendang.jpg,100,
Pisang Ijo,pisang_ijo,150,6.64,23.5,1.42,1.5,12.97,5.756,0.046,https://storage.googleapis.com/food-consumptions/default/default_pisang_ijo.jpeg,100,
Roti Bakar,roti_bakar,293,4,54.4,9,2.5,4.74,0.578,0.592,https://storage.googleapis.com/food-consumptions/default/default_roti_bakar.jpg,100,
Sate Ayam,sate_ayam,225,14.82,4.87,19.54,1.9,1.99,3.429,0.355,https://storage.googleapis.com/food-consumptions/default/default_sate_ayam.jpg,100,
Soto Ayam,soto_ayam,130,6.19,8.11,9.96,0.7,0.41,1.601,0.087,https://storage.googleapis.com/food-consumptions/default/default_soto_ayam.jpg,100,
Sup Ayam,sup_ayam,31,1.02,3.88,1.68,0.3,0.11,0.27,0.459,https://storage.googleapis.com/food-consumptions/default/default_sup_ayam.jpg,100,
